Year Mnth Day Hr,PRCP(mm/day),SRAD(W/m2),Tmax(C),Tmin(C)
1997 10 01 12,0,481.07,14.63,14.63
1997 10 02 12,0,419.78,12.69,12.69
1997 10 03 12,0,460.02,13.5,13.5
1997 10 04 12,0,475.12,15.39,15.39
1997 10 05 12,0.01,467.19,17.43,17.43
1997 10 06 12,0.03,464.71,19.48,19.48
1997 10 07 12,0.02,460.7,20.38,20.38
1997 10 08 12,0,454.26,19.89,19.89
1997 10 09 12,0.25,437.56,19.52,19.52
1997 10 10 12,1.83,361.41,19.5,19.5
1997 10 11 12,2.84,400.33,19.62,19.62
1997 10 12 12,0,359.82,18.59,18.59
1997 10 13 12,1.03,394.89,18.31,18.31
1997 10 14 12,0.82,267.96,17.67,17.67
1997 10 15 12,0.17,227.79,13.43,13.43
1997 10 16 12,0.09,171.72,10.72,10.72
1997 10 17 12,3.74,242.92,10.53,10.53
1997 10 18 12,0,314.46,10.2,10.2
1997 10 19 12,14.07,212.72,10.69,10.69
1997 10 20 12,0,436.52,10.36,10.36
1997 10 21 12,0.06,220.95,9.74,9.74
1997 10 22 12,0.77,417.3,9.48,9.48
1997 10 23 12,3.28,433.68,6.86,6.86
1997 10 24 12,23.62,122.77,8.42,8.42
1997 10 25 12,17.17,219.86,13.1,13.1
1997 10 26 12,88.32,198.72,16.1,16.1
1997 10 27 12,4.47,390.05,11.57,11.57
1997 10 28 12,0.61,423.26,4.8,4.8
1997 10 29 12,0,398.13,7.79,7.79
1997 10 30 12,0.85,413.51,9.63,9.63
1997 10 31 12,0.69,342.09,9.94,9.94
1997 11 01 12,13.8,213.2,11.48,11.48
1997 11 02 12,14.04,335.27,10.05,10.05
1997 11 03 12,0.26,198.04,6.87,6.87
1997 11 04 12,0.18,371.02,4.32,4.32
1997 11 05 12,0.84,361.51,4.77,4.77
1997 11 06 12,3.08,95.74,5.44,5.44
1997 11 07 12,4.77,217.97,6.93,6.93
1997 11 08 12,0.33,157.1,5.33,5.33
1997 11 09 12,0,356.7,5.64,5.64
1997 11 10 12,0.09,309.51,7.75,7.75
1997 11 11 12,0,305.29,7.6,7.6
1997 11 12 12,5.56,193.64,5.15,5.15
1997 11 13 12,13.64,168.58,6.33,6.33
1997 11 14 12,5.72,192.15,6.65,6.65
1997 11 15 12,0,322.51,2.81,2.81
1997 11 16 12,1.1,348.46,-0.94,-0.94
1997 11 17 12,0.57,353.67,-2.34,-2.34
1997 11 18 12,0,336.51,0.32,0.32
1997 11 19 12,0,292.27,3.91,3.91
1997 11 20 12,0,341.34,5.34,5.34
1997 11 21 12,11.61,102.35,5.33,5.33
1997 11 22 12,11.7,318.58,10.52,10.52
1997 11 23 12,0.46,334.31,7.43,7.43
1997 11 24 12,0,334.61,3.05,3.05
1997 11 25 12,0,333.43,2.59,2.59
1997 11 26 12,0.02,179.37,4.17,4.17
1997 11 27 12,0.02,332.93,7.52,7.52
1997 11 28 12,0,244.11,8.72,8.72
1997 11 29 12,3.47,143.17,11.73,11.73
1997 11 30 12,10.59,237.23,12.84,12.84
1997 12 01 12,3.94,331.94,9.16,9.16
1997 12 02 12,0.22,292.64,6.92,6.92
1997 12 03 12,7.52,125.53,8.16,8.16
1997 12 04 12,12.52,295.57,9.28,9.28
1997 12 05 12,0,271.14,1.94,1.94
1997 12 06 12,0.03,307.9,-3.54,-3.54
1997 12 07 12,0,324.82,-3.45,-3.45
1997 12 08 12,3.86,140.08,-1.36,-1.36
1997 12 09 12,9.53,270.08,2.02,2.02
1997 12 10 12,17.68,291.4,4.22,4.22
1997 12 11 12,0,303.03,4.49,4.49
1997 12 12 12,0,270.37,3.31,3.31
1997 12 13 12,0,150.84,2.89,2.89
1997 12 14 12,0.02,290.28,3.48,3.48
1997 12 15 12,0,327.23,1.9,1.9
1997 12 16 12,0,320.32,4.35,4.35
1997 12 17 12,0,317.8,4.83,4.83
1997 12 18 12,0,319.12,4.76,4.76
1997 12 19 12,0,317.38,6.08,6.08
1997 12 20 12,0,294.94,7.21,7.21
1997 12 21 12,0.82,209.95,7.52,7.52
1997 12 22 12,27.53,226.3,6.94,6.94
1997 12 23 12,0.07,249.46,6.86,6.86
1997 12 24 12,39.6,98.1,7.27,7.27
1997 12 25 12,0.89,315.83,8.59,8.59
1997 12 26 12,0,308.05,5.15,5.15
1997 12 27 12,17.74,138.22,3.78,3.78
1997 12 28 12,1.21,326.7,-1.71,-1.71
1997 12 29 12,4.13,99.87,-1.81,-1.81
1997 12 30 12,0.56,255.33,-2.68,-2.68
1997 12 31 12,3.67,265.7,-2.56,-2.56
1998 01 01 12,0.93,316.84,-4.94,-4.94
1998 01 02 12,0.66,315.29,-0.08,-0.08
1998 01 03 12,2.14,255.96,4.56,4.56
1998 01 04 12,0,241.06,8.57,8.57
1998 01 05 12,9.16,104.54,11.04,11.04
1998 01 06 12,20.71,185.45,13.6,13.6
1998 01 07 12,108.67,154,15.11,15.11
1998 01 08 12,28.58,228.87,13.95,13.95
1998 01 09 12,5.55,307.63,6.94,6.94
1998 01 10 12,0.1,325.45,3.41,3.41
1998 01 11 12,0,166.42,4.7,4.7
1998 01 12 12,0.18,194.06,7.53,7.53
1998 01 13 12,1.09,308.72,9.27,9.27
1998 01 14 12,0.94,92.45,5.78,5.78
1998 01 15 12,50.48,118.49,3.16,3.16
1998 01 16 12,17.68,179.31,5.05,5.05
1998 01 17 12,0.72,280.81,3.44,3.44
1998 01 18 12,0,226.54,1.87,1.87
1998 01 19 12,9.39,284.71,3,3
1998 01 20 12,0,343.77,1.07,1.07
1998 01 21 12,0,266.4,1.01,1.01
1998 01 22 12,40.21,109.19,3.64,3.64
1998 01 23 12,11.41,157.87,8.67,8.67
1998 01 24 12,0,338.85,5.43,5.43
1998 01 25 12,0.24,348.53,0.4,0.4
1998 01 26 12,0.78,335,2.23,2.23
1998 01 27 12,23.07,133.31,3.53,3.53
1998 01 28 12,2.59,342.28,3.73,3.73
1998 01 29 12,0.77,347.85,4.98,4.98
1998 01 30 12,0,363.58,4.34,4.34
1998 01 31 12,0,372.42,1.8,1.8
1998 02 01 12,1.91,359.7,1.39,1.39
1998 02 02 12,1.17,168.59,3.21,3.21
