Year Mnth Day Hr,PRCP(mm/day)_nldas,srad(W/m2)_daymet,tmax(C)_daymet,tmin(C)_daymet
1997 10 01 12,0,432.03,24.01,8.6
1997 10 02 12,0,458.75,22.16,4.74
1997 10 03 12,0,444.04,20.81,4.55
1997 10 04 12,0,450.89,22.62,5.1
1997 10 05 12,0.01,446.87,24.89,6.95
1997 10 06 12,0.03,420,25.67,9.58
1997 10 07 12,0.02,414.86,26.4,10.33
1997 10 08 12,0,400.16,25.82,10.74
1997 10 09 12,0.25,364.55,24.72,11.7
1997 10 10 12,1.83,363.61,24.96,11.77
1997 10 11 12,2.84,355.86,25.37,12.36
1997 10 12 12,0,326.19,24.5,12.98
1997 10 13 12,1.03,241.54,22.09,14.14
1997 10 14 12,0.82,267,21.49,12.77
1997 10 15 12,0.17,295.23,19.28,9.72
1997 10 16 12,0.09,305.59,17.31,7.5
1997 10 17 12,3.74,203.37,15.97,7.71
1997 10 18 12,0,310.34,16.85,6.91
1997 10 19 12,14.07,212.01,16.26,7.41
1997 10 20 12,0,381.87,17.81,4.01
1997 10 21 12,0.06,396.68,18.49,3.34
1997 10 22 12,0.77,341.34,17.01,4.44
1997 10 23 12,3.28,404.34,14.78,-1.48
1997 10 24 12,23.62,368.45,13.51,-0.22
1997 10 25 12,17.17,139.2,13.55,7.54
1997 10 26 12,88.32,116.45,16.8,11.69
1997 10 27 12,4.47,188.09,16.19,7.62
1997 10 28 12,0.61,350.09,10.61,-2.54
1997 10 29 12,0,362.7,13.3,-1.25
1997 10 30 12,0.85,380.24,16.57,-0.2
1997 10 31 12,0.69,362.47,15.96,0.64
1997 11 01 12,13.8,214.61,14.54,3.9
1997 11 02 12,14.04,225.26,15.03,3.66
1997 11 03 12,0.26,312.32,12.95,1.25
1997 11 04 12,0.18,313.53,10.31,-1.52
1997 11 05 12,0.84,328.43,10.47,-2.01
1997 11 06 12,3.08,299.03,10.12,-0.63
1997 11 07 12,4.77,101.3,8.01,3.73
1997 11 08 12,0.33,260.58,12.05,3.12
1997 11 09 12,0,249.15,9.86,1.3
1997 11 10 12,0.09,346.3,13.94,-0.2
1997 11 11 12,0,295.59,10.53,-0.07
1997 11 12 12,5.56,273.97,9.82,0.16
1997 11 13 12,13.64,133.78,7.3,1.5
1997 11 14 12,5.72,115.12,8.46,3.48
1997 11 15 12,0,296.16,10.38,-0.55
1997 11 16 12,1.1,324.72,7.22,-5.65
1997 11 17 12,0.57,324.95,4.12,-8.88
1997 11 18 12,0,349.05,6.95,-9
1997 11 19 12,0,353.76,9.89,-7.46
1997 11 20 12,0,336.73,11.48,-4.27
1997 11 21 12,11.61,278.34,11.69,-2.97
1997 11 22 12,11.7,165.76,12.49,4.16
1997 11 23 12,0.46,317.16,17.09,2.31
1997 11 24 12,0,317,12.26,-2.4
1997 11 25 12,0,322.89,10.06,-5.46
1997 11 26 12,0.02,325.94,11.2,-5.3
1997 11 27 12,0.02,321.81,14.01,-2.63
1997 11 28 12,0,316.2,15.84,-0.78
1997 11 29 12,3.47,285.59,15.82,2.25
1997 11 30 12,10.59,105.38,12.94,7.29
1997 12 01 12,3.94,158.97,13.96,5.05
1997 12 02 12,0.22,300.7,13.74,-1.09
1997 12 03 12,7.52,271.79,12.35,0
1997 12 04 12,12.52,100.59,10.43,5.1
1997 12 05 12,0,275.21,12.19,-0.37
1997 12 06 12,0.03,227.11,2.8,-6.4
1997 12 07 12,0,232,1.02,-8.66
1997 12 08 12,3.86,267.48,4.42,-7.48
1997 12 09 12,9.53,123.57,1.61,-4.71
1997 12 10 12,17.68,171.33,8.56,-0.88
1997 12 11 12,0,284.16,12.52,-0.65
1997 12 12 12,0,223.87,8.66,-0.54
1997 12 13 12,0,230.57,6.98,-2.65
1997 12 14 12,0.02,178.4,6.33,-0.81
1997 12 15 12,0,287.4,6.08,-7.4
1997 12 16 12,0,320.49,10.88,-6.86
1997 12 17 12,0,322.26,12.94,-5.62
1997 12 18 12,0,310.48,13.37,-3.65
1997 12 19 12,0,311.55,13.15,-3.99
1997 12 20 12,0,320.28,15.73,-3.15
1997 12 21 12,0.82,295.23,14.86,-0.77
1997 12 22 12,27.53,127.74,9.9,2.26
1997 12 23 12,0.07,169.05,8.68,1.47
1997 12 24 12,39.6,125.91,10.31,3.17
1997 12 25 12,0.89,132.19,10.58,3.17
1997 12 26 12,0,289.63,13.73,-0.93
1997 12 27 12,17.74,206.43,13.34,-0.04
1997 12 28 12,1.21,274.61,4.17,-7.92
1997 12 29 12,4.13,213.08,2.05,-6.1
1997 12 30 12,0.56,99.27,0.41,-4.33
1997 12 31 12,3.67,99.97,0.02,-4.78
1998 01 01 12,0.93,308.67,0.35,-13.19
1998 01 02 12,0.66,332.95,5.73,-11.62
1998 01 03 12,2.14,326.76,10.13,-6.54
1998 01 04 12,0,305.66,12.77,-1.33
1998 01 05 12,9.16,215.25,14.88,2.17
1998 01 06 12,20.71,91.7,14.21,9.78
1998 01 07 12,108.67,65.23,16.05,12.94
1998 01 08 12,28.58,97.75,17.6,12.77
1998 01 09 12,5.55,218.63,15.83,3
1998 01 10 12,0.1,295.8,8.68,-3.48
1998 01 11 12,0,317.64,11.49,-2.7
1998 01 12 12,0.18,288.03,11.97,0.28
1998 01 13 12,1.09,180.27,12.14,3.12
1998 01 14 12,0.94,253.42,13.57,4.08
1998 01 15 12,50.48,123.55,7.29,1.72
1998 01 16 12,17.68,112.6,7.27,2.24
1998 01 17 12,0.72,156.76,8.78,1.5
1998 01 18 12,0,283.82,7.32,-3.17
1998 01 19 12,9.39,203.23,8.48,-1.42
1998 01 20 12,0,311.98,6.43,-5.51
1998 01 21 12,0,316.13,6.59,-5.47
1998 01 22 12,40.21,231.54,6.36,-3.04
1998 01 23 12,11.41,108.7,6.77,2.25
1998 01 24 12,0,240.95,11.02,2.88
1998 01 25 12,0.24,319.82,6.39,-5.3
1998 01 26 12,0.78,337.43,7.2,-5.59
1998 01 27 12,23.07,244.07,7.33,-4.32
1998 01 28 12,2.59,155.99,5.46,-0.89
1998 01 29 12,0.77,344.46,10.04,-2.94
1998 01 30 12,0,376.83,12.93,-2.83
1998 01 31 12,0,374.82,9.62,-5.24
1998 02 01 12,1.91,379.6,9.28,-5.58
1998 02 02 12,1.17,329.24,7.69,-3.18
1998 02 03 12,67.39,175.69,7.75,1.09
1998 02 04 12,49.73,109.7,6.29,2.39
1998 02 05 12,0.07,169.74,5.31,-0.78
1998 02 06 12,0.14,277.05,5.78,-2.07
1998 02 07 12,0,275.18,7.48,-0.29
1998 02 08 12,0.12,222.68,6.9,0.99
1998 02 09 12,0.33,260.62,8.61,1.53
1998 02 10 12,0.55,382.74,10.58,-2.07
1998 02 11 12,8.54,380.5,11.19,-1.16
1998 02 12 12,1.49,164.77,8.39,2.7
1998 02 13 12,0,357.93,8.88,-1.64
1998 02 14 12,0,368.47,9.25,-1.83
1998 02 15 12,0,399.31,10.04,-3.22
1998 02 16 12,64.56,248.37,8.45,-0.99
1998 02 17 12,26.12,203.08,10.41,3.17
1998 02 18 12,2.89,220.11,11.86,3.82
1998 02 19 12,0.07,317.98,9.32,0.73
1998 02 20 12,0.04,417.18,15.38,1.21
1998 02 21 12,0,378.02,11.58,0.44
1998 02 22 12,1.51,427.82,12.7,-1.91
1998 02 23 12,24.29,250.11,8.73,-0.41
1998 02 24 12,0.16,352.77,10.36,0.62
1998 02 25 12,0,432.1,14.35,-0.13
1998 02 26 12,0,463.71,20.84,0.83
1998 02 27 12,20.84,323.28,18.29,2.85
1998 02 28 12,0.07,387.69,16.85,4.3
1998 03 01 12,0.04,435.32,17,2.32
1998 03 02 12,0.22,454.35,14.28,-1.4
1998 03 03 12,0.23,428.75,8.95,-3.94
1998 03 04 12,0.08,329.47,4.75,-3.71
1998 03 05 12,0.18,397.83,9.41,-1.7
1998 03 06 12,3.2,214.72,9.06,3.85
1998 03 07 12,15.78,102.47,8.39,5.22
1998 03 08 12,59.85,151.56,11.24,6.33
1998 03 09 12,39.39,253.24,13.83,5.12
1998 03 10 12,0.04,418.71,7.25,-4.18
1998 03 11 12,0.25,435.76,2.01,-9.99
1998 03 12 12,0.26,509.7,3.95,-11.49
1998 03 13 12,0.04,510.73,4,-11.33
1998 03 14 12,0,515.13,8.71,-7.67
1998 03 15 12,0,497.89,16.54,-1.04
1998 03 16 12,2.47,422.82,17.39,2.51
1998 03 17 12,2.43,228.48,8.62,2.46
1998 03 18 12,18.81,124.72,6.66,2.83
1998 03 19 12,13.23,158.45,10.03,5.04
1998 03 20 12,19.03,351.71,21.96,6.59
1998 03 21 12,0.41,398.91,15.39,0.33
1998 03 22 12,0,289.65,5.5,-1.49
1998 03 23 12,0,445.14,8.39,-3.81
1998 03 24 12,2.56,400.66,9.47,-1.56
1998 03 25 12,0.49,467.4,14.81,1.38
1998 03 26 12,0.06,427.66,15.46,3.85
1998 03 27 12,0,477.66,21.27,6.5
1998 03 28 12,0,445.54,21.72,8.94
1998 03 29 12,0,497.48,22.94,7.13
1998 03 30 12,0,511.07,24.82,7.46
1998 03 31 12,4.07,488.49,25.27,9.7
1998 04 01 12,21.49,236.09,20.06,12.23
1998 04 02 12,6.04,522.1,22.34,5.29
1998 04 03 12,24.03,492.7,24.28,5.74
1998 04 04 12,7.58,227.59,13.86,6.68
1998 04 05 12,0,475.37,12.32,-0.74
1998 04 06 12,0,554.88,18.5,-1.3
1998 04 07 12,0,557.28,21.66,0.38
1998 04 08 12,1.64,479.5,22.02,6.74
1998 04 09 12,27.39,357.81,25.71,9.83
1998 04 10 12,0.92,448.49,18.05,4.76
1998 04 11 12,0.43,313.49,8.7,0.69
1998 04 12 12,0,553.85,18.71,-0.86
1998 04 13 12,1.24,554.65,20.36,0.41
1998 04 14 12,11.8,375.7,18.13,2.51
1998 04 15 12,2.35,406.24,20.06,6.86
1998 04 16 12,2.83,397.9,22.23,8.43
1998 04 17 12,51.7,163.63,18.6,12.8
1998 04 18 12,12.48,279.99,22.47,11.73
1998 04 19 12,26.07,148.49,16.55,11.47
1998 04 20 12,0.74,333.35,15.41,3.05
1998 04 21 12,0.58,507.77,18.9,3.17
1998 04 22 12,23.83,294.81,16.2,5.55
1998 04 23 12,6.01,193.34,11.52,5.1
1998 04 24 12,0.97,330.64,14.37,2.28
1998 04 25 12,0.21,531.83,19.34,2.34
1998 04 26 12,0.11,534.59,22.71,5.01
1998 04 27 12,0.36,507.85,23.87,7.57
1998 04 28 12,0.73,442.69,20.31,6.5
1998 04 29 12,0.03,286.57,14.27,7.14
1998 04 30 12,43.11,235.63,16.86,8.98
1998 05 01 12,11.8,147.58,15.5,10.78
1998 05 02 12,2.75,358.2,19.86,6.73
1998 05 03 12,3.09,363.44,19.99,6.62
1998 05 04 12,2.37,333.72,17.55,5.78
1998 05 05 12,0.35,523.39,20.37,4.82
1998 05 06 12,0.38,546.43,23.42,5.99
1998 05 07 12,22.17,373.45,23.55,9.09
1998 05 08 12,6.49,278.5,19.84,10.56
1998 05 09 12,0.17,453.41,22.98,10.88
1998 05 10 12,18.77,342.08,25.28,12.8
1998 05 11 12,3.36,291.05,20.24,10.51
1998 05 12 12,0,558.07,24.1,6.5
1998 05 13 12,0.18,558.31,25.4,7.59
1998 05 14 12,0,522.71,26.07,10.5
1998 05 15 12,0.12,504.1,28.96,13.74
1998 05 16 12,0,461.51,28.79,15.65
1998 05 17 12,0.06,463.22,28.68,15.31
1998 05 18 12,0,510.51,27.73,12.15
1998 05 19 12,0,515.2,27.99,11.77
1998 05 20 12,0,523.97,30.07,12.69
1998 05 21 12,0,472.39,30.03,15.48
1998 05 22 12,0.29,452.83,30.36,16.56
1998 05 23 12,0,394.18,27.65,16.41
1998 05 24 12,0.78,423.85,29.1,16.58
1998 05 25 12,0,427.79,27.91,15.54
1998 05 26 12,0.43,459.82,29.16,15.42
1998 05 27 12,2.46,471.96,29.38,15.11
1998 05 28 12,0.84,477.48,29.13,14.01
1998 05 29 12,1.66,414.25,29.14,14.3
1998 05 30 12,0.81,405.22,29.02,16.74
1998 05 31 12,0,349.75,25.39,15.58
1998 06 01 12,7.62,313.7,29.22,16.73
1998 06 02 12,21.55,362.81,29.77,14.29
1998 06 03 12,0,402.75,29.69,15.02
1998 06 04 12,25.47,410.36,30.83,18.37
1998 06 05 12,16.19,285.9,27.01,16.25
1998 06 06 12,3.22,318.53,27.82,15.49
1998 06 07 12,0.33,527.84,23.78,7.23
1998 06 08 12,0.2,527.74,22,5.62
1998 06 09 12,19.35,505.92,23.1,7.62
1998 06 10 12,17.55,219.86,20.78,13.03
1998 06 11 12,0.36,282.47,25.93,15.4
1998 06 12 12,0.13,443.18,29.28,16
1998 06 13 12,0.03,412.57,29.82,17.72
1998 06 14 12,0.14,452.78,28.45,15.05
1998 06 15 12,7.42,328.69,29.26,16.28
1998 06 16 12,7.34,405.17,29.01,17.14
1998 06 17 12,0.43,357.42,26.65,13.19
1998 06 18 12,1.84,501.12,29.01,13.35
1998 06 19 12,10.31,496.2,30.97,15.17
1998 06 20 12,0.03,347.4,27.43,13.9
1998 06 21 12,5.08,488.59,29.42,14.37
1998 06 22 12,0.2,332.93,29.44,16.28
1998 06 23 12,1.26,491.48,31.62,15.77
1998 06 24 12,0.59,456.46,31.38,17.21
1998 06 25 12,1.86,455.35,32.17,16.57
1998 06 26 12,2.36,463.75,31.85,17.2
1998 06 27 12,0.61,396.92,31.79,18.22
1998 06 28 12,0.14,455.65,32.66,18.23
1998 06 29 12,1.49,374.87,31.74,18.58
1998 06 30 12,3.44,427.98,31.63,18.48
1998 07 01 12,0.31,436.9,29.95,16.52
1998 07 02 12,0.1,444.46,28.36,15.19
1998 07 03 12,0.1,428.26,28.4,15.82
1998 07 04 12,2.77,459.89,30.33,16.15
1998 07 05 12,5.3,310.64,30.36,17.96
1998 07 06 12,4.07,292.18,29.53,18.39
1998 07 07 12,0,388.71,27.62,16.69
1998 07 08 12,0.34,418.64,29.78,17.6
1998 07 09 12,0.05,322.13,27.88,19.11
1998 07 10 12,0.05,437.17,31.59,18.36
1998 07 11 12,0,449.39,29.69,16.26
1998 07 12 12,0,403.72,28.71,17.23
1998 07 13 12,1.37,340.94,27.89,18.2
1998 07 14 12,0.29,353.88,26.92,17.27
1998 07 15 12,0,364.95,25.25,15.65
1998 07 16 12,7.66,421.37,28.51,16.59
1998 07 17 12,9.83,305.62,29.57,18.02
1998 07 18 12,1.27,402.8,30.06,16.11
1998 07 19 12,2.46,481.9,30.57,15.85
1998 07 20 12,3.03,492.47,32.46,16.62
1998 07 21 12,7.28,400,32.9,17.04
1998 07 22 12,4.52,424.81,31.32,17.33
1998 07 23 12,18.38,328.22,29.6,17.8
1998 07 24 12,0.05,309.99,29.72,18
1998 07 25 12,1.76,400.5,29.21,18.16
1998 07 26 12,0.03,306.32,27.46,16.45
1998 07 27 12,3.57,398.25,28.06,17.41
1998 07 28 12,0.57,247.03,26.85,18.44
1998 07 29 12,0,454.44,30.17,17.19
1998 07 30 12,0.5,470.24,30.66,16.85
1998 07 31 12,1.08,389.92,28.25,17.99
1998 08 01 12,0,364.27,27.24,17.72
1998 08 02 12,0,421.13,26.33,15.39
1998 08 03 12,0,529.51,25.78,10.06
1998 08 04 12,0.04,543.66,27.7,10.36
1998 08 05 12,0.17,539.59,29.11,11.43
1998 08 06 12,0,523,29.31,12.52
1998 08 07 12,0,498.3,28.82,13.49
1998 08 08 12,10.61,334.48,27.61,14.72
1998 08 09 12,17.21,262.48,27.54,18.11
1998 08 10 12,3.28,269.67,26.87,17.29
1998 08 11 12,3.93,437.97,28.92,16.3
1998 08 12 12,9.96,337.6,28.93,15.58
1998 08 13 12,6.91,330.48,29.13,16.04
1998 08 14 12,2.27,257.26,26.97,17.66
1998 08 15 12,14.06,180.31,24.32,18.16
1998 08 16 12,9.14,184.86,25.26,18.92
1998 08 17 12,0.57,248.02,26.95,18.27
1998 08 18 12,0.2,447.04,28.98,16.05
1998 08 19 12,1.26,461.71,30.09,16.28
1998 08 20 12,1.32,303.47,28.02,16.94
1998 08 21 12,0.07,478.86,26.06,12.31
1998 08 22 12,0,498.65,27.98,12.61
1998 08 23 12,0,495.09,30.19,14.26
1998 08 24 12,0,475.2,30.1,15.14
1998 08 25 12,0.1,486.87,31.58,15.33
1998 08 26 12,0,480.51,32.55,16.19
1998 08 27 12,0,470.9,33.01,16.8
