Year Mnth Day Hr,PRCP(mm/day)_nldas,PRCP(mm/day)_maurer,prcp(mm/day)_daymet,srad(W/m2)_daymet,tmax(C)_daymet,tmin(C)_daymet,vp(Pa)_daymet
1998 04 04 12,7.58,7.54,26.95,227.59,13.86,6.68,978.93
1998 04 05 12,0,0.04,0,475.37,12.32,-0.74,579.25
1998 04 06 12,0,0,0,554.88,18.5,-1.3,557.78
1998 04 07 12,0,0.06,0,557.28,21.66,0.38,631.6
1998 04 08 12,1.64,26.14,0,479.5,22.02,6.74,979.14
1998 04 09 12,27.39,8.98,31.48,357.81,25.71,9.83,1226.16
1998 04 10 12,0.92,0.22,0,448.49,18.05,4.76,861.68
1998 04 11 12,0.43,0.04,0,313.49,8.7,0.69,639.7
1998 04 12 12,0,0.09,0,553.85,18.71,-0.86,574.95
1998 04 13 12,1.24,5.97,0,554.65,20.36,0.41,625.35
1998 04 14 12,11.8,3.71,9.33,375.7,18.13,2.51,735.17
1998 04 15 12,2.35,0.84,2.38,406.24,20.06,6.86,998.34
1998 04 16 12,2.83,45.33,2.23,397.9,22.23,8.43,1121.08
1998 04 17 12,51.7,20.38,62.72,163.63,18.6,12.8,1476.61
1998 04 18 12,12.48,12.04,7.13,279.99,22.47,11.73,1378.7
1998 04 19 12,26.07,16.86,19.05,148.49,16.55,11.47,1357.27
1998 04 20 12,0.74,4.67,21.5,333.35,15.41,3.05,760.59
1998 04 21 12,0.58,12.21,0,507.77,18.9,3.17,767.4
1998 04 22 12,23.83,14.49,17.41,294.81,16.2,5.55,907.27
1998 04 23 12,6.01,7.2,13.87,193.34,11.52,5.1,879.6
1998 04 24 12,0.97,1.24,5.85,330.64,14.37,2.28,721.75
1998 04 25 12,0.21,0,0,531.83,19.34,2.34,723.67
1998 04 26 12,0.11,0.01,0,534.59,22.71,5.01,875.07
1998 04 27 12,0.36,0.79,0,507.85,23.87,7.57,1045.73
1998 04 28 12,0.73,0.32,1.13,442.69,20.31,6.5,974.12
1998 04 29 12,0.03,16.6,0,286.57,14.27,7.14,1020.14
1998 04 30 12,43.11,23.93,31.75,235.63,16.86,8.98,1159.69
1998 05 01 12,11.8,11,27.21,147.58,15.5,10.78,1302.23
1998 05 02 12,2.75,3.01,7.84,358.2,19.86,6.73,981.53
1998 05 03 12,3.09,3.32,4.19,363.44,19.99,6.62,974.8
1998 05 04 12,2.37,1.06,4.23,333.72,17.55,5.78,923.51
1998 05 05 12,0.35,0.04,0,523.39,20.37,4.82,863.36
1998 05 06 12,0.38,4.29,0,546.43,23.42,5.99,935.29
1998 05 07 12,22.17,15.85,8.35,373.45,23.55,9.09,1166.83
1998 05 08 12,6.49,4.81,18.12,278.5,19.84,10.56,1284.61
1998 05 09 12,0.17,2.68,0,453.41,22.98,10.88,1310.59
1998 05 10 12,18.77,14.92,8.3,342.08,25.28,12.8,1474.63
1998 05 11 12,3.36,4.68,18.68,291.05,20.24,10.51,1280.68
1998 05 12 12,0,0,0,558.07,24.1,6.5,968.58
1998 05 13 12,0.18,0.05,0,558.31,25.4,7.59,1049.53
1998 05 14 12,0,0.02,0,522.71,26.07,10.5,1280.32
1998 05 15 12,0.12,0.13,0,504.1,28.96,13.74,1574.49
1998 05 16 12,0,0.04,0,461.51,28.79,15.65,1775.13
1998 05 17 12,0.06,0,0,463.22,28.68,15.31,1742.05
1998 05 18 12,0,0,0,510.51,27.73,12.15,1418.06
1998 05 19 12,0,0,0,515.2,27.99,11.77,1382.52
1998 05 20 12,0,0.01,0,523.97,30.07,12.69,1464.25
1998 05 21 12,0,0.13,0,472.39,30.03,15.48,1758.28
1998 05 22 12,0.29,0.04,0,452.83,30.36,16.56,1880.46
1998 05 23 12,0,0,0,394.18,27.65,16.41,1860.06
1998 05 24 12,0.78,0.01,0,423.85,29.1,16.58,1881.04
1998 05 25 12,0,0.06,0,427.79,27.91,15.54,1765.27
1998 05 26 12,0.43,0.27,0,459.82,29.16,15.42,1751.61
1998 05 27 12,2.46,0.76,0,471.96,29.38,15.11,1718.52
1998 05 28 12,0.84,3.18,1.85,477.48,29.13,14.01,1604.22
1998 05 29 12,1.66,1.41,3.39,414.25,29.14,14.3,1635.49
1998 05 30 12,0.81,0.6,0.95,405.22,29.02,16.74,1903.46
1998 05 31 12,0,5.28,0.3,349.75,25.39,15.58,1769.94
1998 06 01 12,7.62,7.04,7.92,313.7,29.22,16.73,1904.67
1998 06 02 12,21.55,10.7,15.84,362.81,29.77,14.29,1632.02
1998 06 03 12,0,3.17,8.71,402.75,29.69,15.02,1709.96
1998 06 04 12,25.47,18.3,0,410.36,30.83,18.37,2117.43
1998 06 05 12,16.19,17.1,25.56,285.9,27.01,16.25,1843.44
1998 06 06 12,3.22,3.75,13.16,318.53,27.82,15.49,1758.41
1998 06 07 12,0.33,0.02,0.12,527.84,23.78,7.23,1021.55
1998 06 08 12,0.2,0.15,0,527.74,22,5.62,912.68
1998 06 09 12,19.35,12.26,0,505.92,23.1,7.62,1054.34
1998 06 10 12,17.55,17.27,20.12,219.86,20.78,13.03,1499.79
