  35.01
 944.00
 535898367
Year Mnth Day Hr	Dayl(s)	PRCP(mm/day)	SRAD(W/m2)	SWE(mm)	Tmax(C)	Tmin(C)	Vp(Pa)
1980 01 01 12	34905.60	3.25	87.21	0.00	4.56	4.56	667.73
1980 01 02 12	34905.60	1.06	252.94	0.00	1.62	1.62	470.51
1980 01 03 12	34905.60	1.13	231.04	0.00	4.63	4.63	533.34
1980 01 04 12	34905.60	10.12	195.68	0.00	2.95	2.95	503.01
1980 01 05 12	34981.65	3.25	192.61	0.00	0.07	0.07	429.22
1980 01 06 12	35225.12	0.00	323.57	0.00	-3.54	-3.54	296.62
1980 01 07 12	35251.20	4.36	224.47	0.00	-0.60	-0.60	401.93
1980 01 08 12	35251.20	4.84	190.03	0.00	3.61	3.61	608.71
1980 01 09 12	35251.20	1.38	211.27	0.00	6.69	6.69	723.74
1980 01 10 12	35251.20	0.35	171.85	0.00	4.61	4.61	657.49
1980 01 11 12	35251.20	23.68	130.45	0.00	5.65	5.65	722.98
1980 01 12 12	35412.75	8.97	214.68	0.00	4.77	4.77	638.82
1980 01 13 12	35596.80	11.27	119.13	0.00	4.20	4.20	642.33
1980 01 14 12	35596.80	7.88	235.36	0.00	4.45	4.45	597.09
1980 01 15 12	35596.80	1.42	343.92	0.00	5.35	5.35	546.90
1980 01 16 12	35596.80	2.09	246.90	0.00	6.53	6.53	633.79
1980 01 17 12	35758.35	20.29	179.20	0.00	8.11	8.11	827.09
1980 01 18 12	35942.40	14.18	119.60	0.00	9.99	9.99	957.21
1980 01 19 12	35942.40	2.55	345.93	0.00	6.75	6.75	646.81
1980 01 20 12	35942.40	0.00	351.98	0.00	6.01	6.01	559.95
1980 01 21 12	35942.40	0.57	275.77	0.00	5.81	5.81	604.76
1980 01 22 12	36288.00	18.12	149.01	0.00	6.58	6.58	704.87
1980 01 23 12	36288.00	6.91	276.65	0.00	1.79	1.79	485.71
1980 01 24 12	36288.00	0.31	355.99	0.00	2.06	2.06	466.29
1980 01 25 12	36288.00	0.00	308.49	0.00	5.20	5.20	625.11
1980 01 26 12	36633.60	0.24	237.96	0.00	6.17	6.17	692.48
1980 01 27 12	36633.60	1.77	188.01	0.00	5.54	5.54	682.53
1980 01 28 12	36633.60	0.67	257.30	0.00	4.39	4.39	610.98
1980 01 29 12	36709.65	0.06	298.76	0.00	3.16	3.16	530.97
1980 01 30 12	36979.20	7.08	226.32	0.00	0.44	0.44	433.60
1980 01 31 12	36979.20	6.81	208.14	0.00	-2.76	-2.76	342.90
1980 02 01 12	36979.20	1.53	320.13	0.00	-7.37	-7.37	223.49
1980 02 02 12	37324.80	0.01	402.96	0.00	-7.18	-7.18	209.00
1980 02 03 12	37324.80	0.00	407.67	0.00	-4.90	-4.90	247.96
1980 02 04 12	37324.80	0.00	385.01	0.00	-3.53	-3.53	286.63
1980 02 05 12	37486.35	3.47	326.37	0.00	-3.67	-3.67	291.78
1980 02 06 12	37670.40	4.88	255.30	0.00	-1.84	-1.84	354.14
1980 02 07 12	37670.40	2.24	343.55	0.00	-4.08	-4.08	281.04
1980 02 08 12	37746.44	3.86	322.05	0.00	-3.40	-3.40	308.80
1980 02 09 12	38016.00	7.26	242.73	0.00	-0.77	-0.77	415.24
1980 02 10 12	38016.00	4.80	343.24	0.00	-0.12	-0.12	410.34
1980 02 11 12	38034.91	0.92	454.91	0.00	-0.36	-0.36	350.80
1980 02 12 12	38361.60	0.00	443.28	0.00	-0.18	-0.18	343.90
1980 02 13 12	38361.60	0.00	456.27	0.00	-1.68	-1.68	311.72
1980 02 14 12	38437.65	0.00	475.29	0.00	1.34	1.34	353.71
1980 02 15 12	38707.20	4.15	362.69	0.00	5.36	5.36	475.90
1980 02 16 12	38707.20	7.44	331.95	0.00	6.98	6.98	577.00
1980 02 17 12	38868.75	2.02	435.82	0.00	-1.91	-1.91	317.66
1980 02 18 12	39052.80	0.00	471.24	0.00	-4.36	-4.36	252.04
1980 02 19 12	39052.80	0.03	457.07	0.00	-1.69	-1.69	312.62
1980 02 20 12	39398.40	0.83	347.69	0.00	2.07	2.07	446.17
1980 02 21 12	39398.40	0.93	365.62	0.00	4.70	4.70	553.82
1980 02 22 12	39398.40	4.64	330.80	0.00	9.29	9.29	759.44
1980 02 23 12	39744.00	1.58	363.29	0.00	10.60	10.60	747.26
1980 02 24 12	39744.00	0.23	393.27	0.00	10.78	10.78	671.63
1980 02 25 12	39744.00	1.06	359.52	0.00	7.81	7.81	511.37
1980 02 26 12	40089.60	0.33	457.20	0.00	-0.32	-0.32	309.49
1980 02 27 12	40089.60	0.00	479.80	0.00	-0.45	-0.45	328.51
1980 02 28 12	40251.15	0.00	482.21	0.00	4.42	4.42	457.48
1980 02 29 12	40435.20	3.84	427.31	0.00	3.26	3.26	414.00
1980 03 01 12	40435.20	7.69	374.60	0.00	2.09	2.09	370.50
1980 03 02 12	40780.80	4.60	246.98	0.00	-4.18	-4.18	271.55
1980 03 03 12	40780.80	0.73	465.12	0.00	-5.47	-5.47	214.89
1980 03 04 12	40780.80	8.27	408.79	0.00	1.76	1.76	366.47
1980 03 05 12	41126.40	12.45	349.94	0.00	4.83	4.83	517.52
1980 03 06 12	41126.40	3.23	527.22	0.00	5.43	5.43	500.25
1980 03 07 12	41472.00	15.53	380.11	0.00	8.32	8.32	683.23
1980 03 08 12	41472.00	35.93	297.91	0.00	12.12	12.12	951.26
1980 03 09 12	41472.00	10.34	475.55	0.00	11.74	11.74	813.09
1980 03 10 12	41817.60	0.03	513.97	0.00	9.86	9.86	657.42
1980 03 11 12	41817.60	0.00	465.05	0.00	9.29	9.29	667.28
1980 03 12 12	41836.52	19.55	299.19	0.00	4.03	4.03	537.71
1980 03 13 12	42163.20	9.78	259.36	0.00	2.30	2.30	514.40
1980 03 14 12	42163.20	1.19	428.86	0.00	4.02	4.02	498.43
1980 03 15 12	42508.80	0.03	526.91	0.00	6.09	6.09	515.18
1980 03 16 12	42508.80	5.24	383.70	0.00	7.66	7.66	638.33
1980 03 17 12	42508.80	56.53	269.31	0.00	9.54	9.54	803.83
1980 03 18 12	42854.40	19.18	419.68	0.00	7.32	7.32	642.15
1980 03 19 12	42854.40	1.28	396.34	0.00	5.82	5.82	563.29
1980 03 20 12	43200.00	51.94	291.27	0.00	7.17	7.17	708.94
1980 03 21 12	43200.00	27.64	260.50	0.00	7.15	7.15	735.64
1980 03 22 12	43200.00	3.48	539.13	0.00	6.30	6.30	578.91
1980 03 23 12	43545.60	3.56	398.68	0.00	7.30	7.30	622.02
1980 03 24 12	43545.60	18.19	299.10	0.00	9.28	9.28	788.83
1980 03 25 12	43891.20	5.67	502.60	0.00	8.15	8.15	712.33
1980 03 26 12	43891.20	0.00	478.09	0.00	8.99	8.99	738.62
1980 03 27 12	43891.20	6.82	384.85	0.00	7.83	7.83	702.21
1980 03 28 12	44236.80	33.93	254.90	0.00	8.42	8.42	814.88
1980 03 29 12	44236.80	14.32	372.17	0.00	10.01	10.01	858.33
1980 03 30 12	44563.48	6.63	336.62	0.00	11.18	11.18	901.90
1980 03 31 12	44582.40	1.79	467.54	0.00	9.84	9.84	807.08
1980 04 01 12	44582.40	0.00	554.45	0.00	8.90	8.90	686.99
1980 04 02 12	44928.00	0.00	549.14	0.00	10.63	10.63	767.88
1980 04 03 12	44928.00	0.66	369.09	0.00	12.72	12.72	1003.29
1980 04 04 12	44928.00	1.70	317.86	0.00	15.11	15.11	1161.71
1980 04 05 12	45273.60	0.49	560.78	0.00	9.07	9.07	692.96
1980 04 06 12	45273.60	0.00	553.62	0.00	7.42	7.42	645.71
1980 04 07 12	45619.20	5.58	284.02	0.00	10.31	10.31	943.74
1980 04 08 12	45619.20	31.35	237.66	0.00	13.21	13.21	1133.44
1980 04 09 12	45619.20	9.83	558.91	0.00	10.45	10.45	807.31
1980 04 10 12	45964.80	0.00	568.31	0.00	10.75	10.75	753.98
1980 04 11 12	45964.80	2.96	429.25	0.00	11.97	11.97	845.21
1980 04 12 12	46148.85	29.96	279.66	0.00	14.01	14.01	1115.29
1980 04 13 12	46310.40	33.91	228.67	0.00	11.75	11.75	1056.38
1980 04 14 12	46310.40	36.52	300.72	0.00	9.78	9.78	889.43
1980 04 15 12	46656.00	9.60	360.61	0.00	5.76	5.76	688.44
1980 04 16 12	46656.00	1.03	407.82	0.00	6.60	6.60	644.78
1980 04 17 12	46656.00	0.33	595.12	0.00	6.69	6.69	577.80
1980 04 18 12	47001.60	0.00	587.04	0.00	9.18	9.18	671.12
1980 04 19 12	47001.60	0.00	586.27	0.00	10.97	10.97	750.98
1980 04 20 12	47001.60	0.00	586.43	0.00	12.14	12.14	805.08
1980 04 21 12	47347.20	0.00	586.97	0.00	13.17	13.17	841.68
1980 04 22 12	47347.20	0.00	589.64	0.00	14.39	14.39	925.28
1980 04 23 12	47531.25	0.00	575.95	0.00	17.96	17.96	1138.14
1980 04 24 12	47692.80	0.14	510.43	0.00	18.36	18.36	1220.89
1980 04 25 12	47692.80	3.61	399.46	0.00	17.95	17.95	1289.95
1980 04 26 12	47962.35	11.17	352.33	0.00	16.29	16.29	1261.05
1980 04 27 12	48038.40	3.83	399.48	0.00	15.32	15.32	1116.59
1980 04 28 12	48038.40	0.29	470.90	0.00	11.00	11.00	793.45
1980 04 29 12	48365.09	0.51	386.96	0.00	8.71	8.71	728.85
1980 04 30 12	48384.00	0.16	580.94	0.00	9.05	9.05	704.64
1980 05 01 12	48384.00	0.00	603.69	0.00	10.71	10.71	737.83
1980 05 02 12	48653.56	0.00	584.78	0.00	13.30	13.30	880.64
1980 05 03 12	48729.60	0.22	498.01	0.00	13.93	13.93	951.09
1980 05 04 12	48729.60	0.07	576.88	0.00	14.79	14.79	1029.74
1980 05 05 12	48913.65	2.12	402.28	0.00	16.55	16.55	1169.74
1980 05 06 12	49075.20	0.72	558.93	0.00	15.94	15.94	1087.09
1980 05 07 12	49075.20	2.65	424.46	0.00	16.77	16.77	1155.10
1980 05 08 12	49075.20	1.10	429.95	0.00	16.03	16.03	1114.43
1980 05 09 12	49420.80	0.07	595.47	0.00	12.24	12.24	813.74
1980 05 10 12	49420.80	0.00	600.51	0.00	12.27	12.27	813.58
1980 05 11 12	49420.80	0.00	598.44	0.00	15.40	15.40	980.01
1980 05 12 12	49690.35	0.01	556.74	0.00	18.29	18.29	1202.67
1980 05 13 12	49766.40	0.00	502.06	0.00	20.98	20.98	1510.64
1980 05 14 12	49766.40	0.11	485.22	0.00	18.62	18.62	1335.41
1980 05 15 12	49766.40	0.04	532.52	0.00	17.60	17.60	1279.22
1980 05 16 12	50112.00	1.99	367.72	0.00	17.64	17.64	1338.63
1980 05 17 12	50112.00	57.58	270.51	0.00	15.78	15.78	1339.76
1980 05 18 12	50112.00	24.00	387.91	0.00	18.17	18.17	1447.45
1980 05 19 12	50112.00	9.29	346.45	0.00	18.80	18.80	1489.88
1980 05 20 12	50457.60	16.65	290.07	0.00	17.58	17.58	1426.92
1980 05 21 12	50457.60	4.70	557.35	0.00	16.25	16.25	1207.62
1980 05 22 12	50457.60	18.17	348.43	0.00	16.11	16.11	1319.47
1980 05 23 12	50457.60	30.07	258.48	0.00	17.95	17.95	1588.43
1980 05 24 12	50641.65	13.18	305.01	0.00	18.50	18.50	1598.71
1980 05 25 12	50803.20	2.03	348.70	0.00	18.34	18.34	1509.58
1980 05 26 12	50803.20	0.10	540.19	0.00	18.74	18.74	1404.99
1980 05 27 12	50803.20	0.00	567.17	0.00	18.32	18.32	1311.17
1980 05 28 12	50803.20	2.37	440.73	0.00	18.98	18.98	1377.67
1980 05 29 12	50987.25	5.93	411.71	0.00	20.35	20.35	1509.38
1980 05 30 12	51148.80	1.71	516.15	0.00	19.92	19.92	1509.94
1980 05 31 12	51148.80	0.07	489.36	0.00	19.11	19.11	1473.99
1980 06 01 12	51148.80	0.02	531.26	0.00	19.45	19.45	1491.33
1980 06 02 12	51148.80	0.00	555.87	0.00	20.42	20.42	1544.36
1980 06 03 12	51148.80	0.00	548.05	0.00	22.17	22.17	1698.16
1980 06 04 12	51174.88	0.00	505.75	0.00	22.68	22.68	1767.39
1980 06 05 12	51418.35	0.00	537.39	0.00	20.62	20.62	1557.63
1980 06 06 12	51494.40	0.00	540.89	0.00	19.91	19.91	1560.09
1980 06 07 12	51494.40	0.00	522.55	0.00	23.04	23.04	1854.08
1980 06 08 12	51494.40	0.00	497.41	0.00	23.34	23.34	1782.30
1980 06 09 12	51494.40	0.00	576.10	0.00	17.63	17.63	1221.38
1980 06 10 12	51494.40	0.00	589.07	0.00	16.67	16.67	1127.67
1980 06 11 12	51494.40	0.00	579.65	0.00	17.16	17.16	1196.96
1980 06 12 12	51494.40	0.00	552.18	0.00	18.05	18.05	1319.06
1980 06 13 12	51494.40	0.00	556.77	0.00	18.83	18.83	1398.52
1980 06 14 12	51494.40	0.00	571.10	0.00	20.80	20.80	1518.09
1980 06 15 12	51520.47	0.00	556.56	0.00	22.30	22.30	1656.18
1980 06 16 12	51590.91	4.67	403.85	0.00	22.47	22.47	1734.71
1980 06 17 12	51590.91	7.06	369.51	0.00	22.11	22.11	1779.06
1980 06 18 12	51678.45	16.50	298.74	0.00	20.23	20.23	1687.90
1980 06 19 12	51678.45	4.97	442.74	0.00	19.39	19.39	1516.41
1980 06 20 12	51678.45	0.03	536.02	0.00	20.11	20.11	1487.52
1980 06 21 12	51678.45	0.00	533.72	0.00	19.79	19.79	1463.17
1980 06 22 12	51678.45	0.00	530.55	0.00	19.89	19.89	1501.43
1980 06 23 12	51678.45	15.57	344.15	0.00	19.95	19.95	1635.86
1980 06 24 12	51590.91	61.33	210.90	0.00	19.60	19.60	1764.55
1980 06 25 12	51520.47	26.66	263.78	0.00	19.45	19.45	1755.41
1980 06 26 12	51520.47	2.83	396.78	0.00	20.70	20.70	1706.60
1980 06 27 12	51494.40	0.06	553.53	0.00	22.03	22.03	1663.58
1980 06 28 12	51494.40	0.00	545.94	0.00	22.87	22.87	1715.21
1980 06 29 12	51494.40	0.63	409.75	0.00	22.47	22.47	1689.60
1980 06 30 12	51494.40	0.31	454.32	0.00	20.34	20.34	1472.87
1980 07 01 12	51494.40	0.03	575.49	0.00	19.30	19.30	1365.13
1980 07 02 12	51494.40	0.03	532.43	0.00	21.25	21.25	1609.35
1980 07 03 12	51494.40	3.55	403.15	0.00	24.11	24.11	1990.94
1980 07 04 12	51494.40	1.18	513.30	0.00	24.24	24.24	1972.80
1980 07 05 12	51475.48	2.08	414.03	0.00	24.71	24.71	1996.74
1980 07 06 12	51332.85	1.09	432.45	0.00	24.51	24.51	1908.32
1980 07 07 12	51148.80	0.13	565.54	0.00	21.74	21.74	1581.87
1980 07 08 12	51148.80	0.46	513.80	0.00	23.38	23.38	1755.54
1980 07 09 12	51148.80	0.15	517.90	0.00	26.36	26.36	2099.19
1980 07 10 12	51148.80	0.86	409.28	0.00	25.42	25.42	2083.15
1980 07 11 12	51148.80	0.42	419.88	0.00	25.95	25.95	2100.83
1980 07 12 12	51072.75	0.04	555.35	0.00	24.54	24.54	1843.50
1980 07 13 12	50829.27	0.05	509.71	0.00	26.13	26.13	2010.88
1980 07 14 12	50803.20	0.02	483.76	0.00	25.91	25.91	2095.64
1980 07 15 12	50803.20	0.33	396.08	0.00	25.65	25.65	2103.03
1980 07 16 12	50803.20	0.34	471.91	0.00	26.54	26.54	2084.86
1980 07 17 12	50803.20	0.18	491.93	0.00	26.53	26.53	2006.21
1980 07 18 12	50483.68	0.14	430.57	0.00	25.41	25.41	1969.16
1980 07 19 12	50457.60	0.03	502.16	0.00	24.40	24.40	1904.46
1980 07 20 12	50457.60	0.00	492.39	0.00	24.06	24.06	1905.08
1980 07 21 12	50457.60	5.50	402.90	0.00	23.74	23.74	1928.77
1980 07 22 12	50296.05	12.83	340.62	0.00	23.20	23.20	1927.25
1980 07 23 12	50112.00	7.80	351.50	0.00	22.59	22.59	1840.21
1980 07 24 12	50112.00	5.97	374.16	0.00	21.43	21.43	1702.29
1980 07 25 12	50112.00	2.17	410.67	0.00	21.82	21.82	1716.64
1980 07 26 12	49950.45	8.93	372.79	0.00	21.48	21.48	1674.25
1980 07 27 12	49766.40	6.03	380.07	0.00	20.84	20.84	1648.46
1980 07 28 12	49766.40	2.83	388.32	0.00	22.26	22.26	1751.49
1980 07 29 12	49766.40	0.60	535.18	0.00	21.91	21.91	1624.63
1980 07 30 12	49446.88	0.00	545.79	0.00	22.92	22.92	1670.04
1980 07 31 12	49420.80	0.00	547.60	0.00	23.87	23.87	1726.22
1980 08 01 12	49420.80	6.74	426.10	0.00	23.85	23.85	1745.69
1980 08 02 12	49344.75	2.25	540.44	0.00	23.80	23.80	1717.49
1980 08 03 12	49075.20	0.00	544.53	0.00	23.40	23.40	1672.52
1980 08 04 12	49075.20	1.78	460.38	0.00	22.62	22.62	1646.27
1980 08 05 12	49075.20	0.59	537.63	0.00	23.08	23.08	1659.79
1980 08 06 12	48729.60	0.09	530.70	0.00	23.34	23.34	1643.69
1980 08 07 12	48729.60	0.03	542.32	0.00	24.76	24.76	1774.08
1980 08 08 12	48729.60	0.02	513.50	0.00	25.00	25.00	1814.92
1980 08 09 12	48384.00	0.54	421.62	0.00	25.09	25.09	1890.15
1980 08 10 12	48384.00	1.16	441.66	0.00	24.31	24.31	1851.21
1980 08 11 12	48384.00	1.67	400.57	0.00	23.78	23.78	1830.17
1980 08 12 12	48038.40	1.13	386.38	0.00	22.91	22.91	1730.84
1980 08 13 12	48038.40	0.23	533.25	0.00	22.12	22.12	1634.55
1980 08 14 12	48038.40	1.01	384.99	0.00	23.27	23.27	1777.00
1980 08 15 12	47692.80	2.23	478.34	0.00	23.63	23.63	1774.04
1980 08 16 12	47692.80	4.49	390.68	0.00	24.04	24.04	1778.91
1980 08 17 12	47692.80	1.29	487.49	0.00	22.71	22.71	1663.14
1980 08 18 12	47347.20	5.87	409.13	0.00	21.60	21.60	1593.11
1980 08 19 12	47347.20	5.08	382.90	0.00	23.03	23.03	1717.74
1980 08 20 12	47347.20	2.01	403.42	0.00	23.12	23.12	1723.13
1980 08 21 12	47001.60	3.54	384.19	0.00	23.62	23.62	1776.26
1980 08 22 12	47001.60	4.96	353.47	0.00	24.09	24.09	1839.17
1980 08 23 12	46925.56	1.40	418.23	0.00	22.64	22.64	1704.49
1980 08 24 12	46656.00	1.86	345.52	0.00	21.30	21.30	1609.21
1980 08 25 12	46656.00	0.62	442.57	0.00	20.37	20.37	1464.48
1980 08 26 12	46310.40	0.01	523.51	0.00	19.65	19.65	1311.68
1980 08 27 12	46310.40	0.00	528.90	0.00	19.77	19.77	1278.96
1980 08 28 12	46310.40	0.00	507.22	0.00	19.68	19.68	1318.33
1980 08 29 12	45964.80	0.00	501.70	0.00	20.88	20.88	1444.05
1980 08 30 12	45964.80	5.40	329.59	0.00	20.38	20.38	1522.05
1980 08 31 12	45964.80	10.18	350.07	0.00	20.00	20.00	1515.73
1980 09 01 12	45619.20	3.54	422.07	0.00	21.57	21.57	1596.18
1980 09 02 12	45619.20	1.12	365.47	0.00	22.68	22.68	1689.85
1980 09 03 12	45273.60	2.20	350.67	0.00	22.39	22.39	1698.80
1980 09 04 12	45273.60	7.77	322.44	0.00	21.29	21.29	1683.82
1980 09 05 12	45273.60	2.46	424.50	0.00	22.21	22.21	1722.43
1980 09 06 12	44928.00	3.07	363.09	0.00	21.80	21.80	1625.41
1980 09 07 12	44928.00	1.01	493.47	0.00	21.54	21.54	1510.04
1980 09 08 12	44678.91	0.00	510.01	0.00	20.71	20.71	1405.94
1980 09 09 12	44582.40	1.78	375.92	0.00	20.41	20.41	1453.96
1980 09 10 12	44582.40	6.16	333.44	0.00	21.16	21.16	1569.42
1980 09 11 12	44236.80	1.86	492.64	0.00	19.23	19.23	1357.66
1980 09 12 12	44236.80	0.00	499.20	0.00	19.89	19.89	1366.06
1980 09 13 12	44236.80	0.00	490.63	0.00	20.56	20.56	1414.29
1980 09 14 12	43891.20	0.00	490.37	0.00	20.82	20.82	1447.25
1980 09 15 12	43891.20	0.00	479.92	0.00	21.58	21.58	1493.49
1980 09 16 12	43545.60	0.09	469.80	0.00	20.52	20.52	1411.92
1980 09 17 12	43545.60	7.47	308.25	0.00	20.55	20.55	1557.44
1980 09 18 12	43545.60	2.54	365.79	0.00	20.04	20.04	1543.25
1980 09 19 12	43200.00	1.54	320.68	0.00	20.15	20.15	1616.36
1980 09 20 12	43200.00	8.23	259.11	0.00	20.82	20.82	1764.10
1980 09 21 12	42854.40	2.72	341.31	0.00	21.66	21.66	1771.98
1980 09 22 12	42854.40	0.21	323.66	0.00	21.88	21.88	1728.75
1980 09 23 12	42854.40	1.36	317.83	0.00	22.76	22.76	1745.81
1980 09 24 12	42508.80	15.93	309.17	0.00	22.45	22.45	1732.21
1980 09 25 12	42508.80	20.83	221.53	0.00	20.98	20.98	1722.25
1980 09 26 12	42163.20	5.27	376.71	0.00	19.10	19.10	1435.91
1980 09 27 12	42163.20	2.02	332.17	0.00	15.56	15.56	1155.17
1980 09 28 12	42163.20	36.02	168.75	0.00	14.58	14.58	1253.40
1980 09 29 12	41817.60	35.81	78.02	0.00	13.28	13.28	1307.51
1980 09 30 12	41817.60	18.11	124.31	0.00	13.73	13.73	1335.06
1980 10 01 12	41721.09	7.40	267.17	0.00	15.24	15.24	1297.81
1980 10 02 12	41472.00	1.34	428.04	0.00	15.73	15.73	1165.31
1980 10 03 12	41472.00	0.00	445.87	0.00	13.44	13.44	934.44
1980 10 04 12	41126.40	0.19	400.00	0.00	8.85	8.85	728.49
1980 10 05 12	41126.40	2.01	258.74	0.00	9.65	9.65	811.02
1980 10 06 12	41126.40	0.65	484.00	0.00	7.82	7.82	623.54
1980 10 07 12	40780.80	0.00	483.92	0.00	10.45	10.45	671.27
1980 10 08 12	40780.80	0.00	471.34	0.00	13.05	13.05	815.87
1980 10 09 12	40435.20	0.00	461.05	0.00	15.47	15.47	971.83
1980 10 10 12	40435.20	0.00	452.21	0.00	16.16	16.16	1020.09
1980 10 11 12	40435.20	0.00	442.98	0.00	15.02	15.02	944.66
1980 10 12 12	40089.60	0.00	460.09	0.00	10.88	10.88	701.69
1980 10 13 12	40089.60	0.00	464.27	0.00	8.72	8.72	593.89
1980 10 14 12	40089.60	0.00	453.41	0.00	9.28	9.28	666.75
1980 10 15 12	39744.00	0.00	435.10	0.00	12.41	12.41	852.21
1980 10 16 12	39744.00	0.00	410.48	0.00	14.26	14.26	1008.70
1980 10 17 12	39474.44	0.50	295.13	0.00	15.22	15.22	1165.47
1980 10 18 12	39398.40	14.74	167.65	0.00	15.67	15.67	1351.47
1980 10 19 12	39398.40	11.98	213.57	0.00	16.15	16.15	1331.50
1980 10 20 12	39052.80	2.37	430.25	0.00	10.84	10.84	792.31
1980 10 21 12	39052.80	0.00	431.07	0.00	10.31	10.31	706.06
1980 10 22 12	39052.80	0.00	415.42	0.00	11.78	11.78	805.99
1980 10 23 12	38707.20	0.00	347.35	0.00	12.22	12.22	901.44
1980 10 24 12	38707.20	3.62	256.79	0.00	9.32	9.32	815.26
1980 10 25 12	38707.20	11.09	157.54	0.00	8.19	8.19	800.59
1980 10 26 12	38361.60	3.29	401.73	0.00	6.11	6.11	645.25
1980 10 27 12	38361.60	6.01	265.58	0.00	9.76	9.76	826.38
1980 10 28 12	38361.60	9.93	247.06	0.00	11.86	11.86	968.69
1980 10 29 12	38016.00	8.05	236.10	0.00	11.52	11.52	976.87
1980 10 30 12	38016.00	8.12	103.28	0.00	11.10	11.10	1017.55
1980 10 31 12	38016.00	2.11	363.65	0.00	8.64	8.64	766.34
1980 11 01 12	37670.40	0.00	394.41	0.00	8.49	8.49	657.24
1980 11 02 12	37670.40	0.00	382.72	0.00	9.88	9.88	706.79
1980 11 03 12	37670.40	2.94	280.36	0.00	9.51	9.51	731.11
1980 11 04 12	37324.80	1.69	284.38	0.00	11.02	11.02	821.02
1980 11 05 12	37324.80	0.24	345.06	0.00	8.36	8.36	678.85
1980 11 06 12	37324.80	0.00	386.23	0.00	6.37	6.37	557.60
1980 11 07 12	37055.25	0.00	378.71	0.00	10.21	10.21	712.64
1980 11 08 12	36979.20	0.00	363.40	0.00	13.45	13.45	897.00
1980 11 09 12	36979.20	0.00	354.03	0.00	14.26	14.26	974.89
1980 11 10 12	36953.12	0.00	324.35	0.00	14.36	14.36	991.77
1980 11 11 12	36633.60	0.00	360.62	0.00	9.42	9.42	697.86
1980 11 12 12	36633.60	0.00	371.64	0.00	8.03	8.03	580.14
1980 11 13 12	36633.60	0.00	367.02	0.00	8.53	8.53	598.33
1980 11 14 12	36449.55	1.62	268.51	0.00	9.93	9.93	738.62
1980 11 15 12	36288.00	11.79	136.67	0.00	12.78	12.78	1077.14
1980 11 16 12	36288.00	4.73	122.17	0.00	11.40	11.40	1047.70
1980 11 17 12	36288.00	11.41	205.26	0.00	7.54	7.54	771.37
1980 11 18 12	36103.95	4.02	190.83	0.00	6.51	6.51	668.73
1980 11 19 12	35942.40	0.11	349.46	0.00	0.40	0.40	378.81
1980 11 20 12	35942.40	0.00	346.16	0.00	0.50	0.50	357.73
1980 11 21 12	35942.40	0.00	348.17	0.00	2.02	2.02	394.32
1980 11 22 12	35916.32	0.23	296.77	0.00	3.08	3.08	462.73
1980 11 23 12	35596.80	12.13	178.50	0.00	6.23	6.23	679.14
1980 11 24 12	35596.80	6.70	218.53	0.00	7.19	7.19	708.35
1980 11 25 12	35596.80	0.89	328.50	0.00	5.40	5.40	575.60
1980 11 26 12	35596.80	12.29	186.55	0.00	6.25	6.25	658.19
1980 11 27 12	35570.73	21.26	139.23	0.00	5.62	5.62	682.75
1980 11 28 12	35327.25	6.64	181.64	0.00	3.04	3.04	568.15
1980 11 29 12	35251.20	0.31	294.36	0.00	3.36	3.36	526.28
1980 11 30 12	35251.20	0.00	332.96	0.00	4.37	4.37	489.44
1980 12 01 12	35251.20	0.00	327.02	0.00	6.28	6.28	536.76
1980 12 02 12	35251.20	0.00	325.97	0.00	6.32	6.32	531.42
1980 12 03 12	35251.20	0.00	326.70	0.00	5.35	5.35	487.93
1980 12 04 12	35067.15	0.00	324.12	0.00	4.56	4.56	475.33
1980 12 05 12	34924.52	0.00	328.98	0.00	6.12	6.12	511.17
1980 12 06 12	34905.60	0.00	329.21	0.00	7.64	7.64	543.05
1980 12 07 12	34905.60	0.00	323.81	0.00	9.10	9.10	617.25
1980 12 08 12	34905.60	0.00	316.51	0.00	10.32	10.32	716.09
1980 12 09 12	34905.60	4.88	189.19	0.00	10.74	10.74	838.78
1980 12 10 12	34905.60	1.85	207.29	0.00	7.96	7.96	725.07
