Year Mnth Day Hr	Dayl(s)	PRCP(mm/day)	SRAD(W/m2)	SWE(mm)	Tmax(C)	Tmin(C)	Vp(Pa)
1980 01 01 12	34905.6	1.43	95.39	0	3.21	3.21	700.89
1980 01 02 12	34905.6	0	313.89	0	1.18	1.18	462.18
1980 01 03 12	34905.6	0	280.96	0	3.23	3.23	534.57
1980 01 04 12	34905.6	15.18	87.92	0	2.58	2.58	644.35
1980 01 05 12	34981.65	0.15	301.15	0	-0.85	-0.85	487.48
1980 01 06 12	35225.12	0.51	317.74	0	-3.29	-3.29	345.63
1980 01 07 12	35251.2	7.08	80.47	0	-0.97	-0.97	456.89
1980 01 08 12	35251.2	3.75	225.94	0	5.18	5.18	801.94
1980 01 09 12	35251.2	1.16	287.85	0	6.99	6.99	886.85
1980 01 10 12	35251.2	12.13	161.24	0	3.48	3.48	660.57
1980 01 11 12	35251.2	22.18	94.09	0	6.16	6.16	880.33
1980 01 12 12	35412.75	5.51	270.6	0	4.14	4.14	577.66
1980 01 13 12	35596.8	1.55	72.3	0	1.91	1.91	422.71
1980 01 14 12	35596.8	14.44	290.14	0	3.72	3.72	708.47
1980 01 15 12	35596.8	0	327.2	0	5.78	5.78	707.49
1980 01 16 12	35596.8	0.14	224.1	0	6.74	6.74	765.96
1980 01 17 12	35758.35	24.76	84.2	0	9.05	9.05	1057.85
1980 01 18 12	35942.4	21.55	188.08	0	10.32	10.32	1144.64
1980 01 19 12	35942.4	0	343.04	0	7.04	7.04	591.28
1980 01 20 12	35942.4	0	271.08	0	7.76	7.76	504.45
1980 01 21 12	35942.4	1.14	254.02	0	6.24	6.24	582.47
1980 01 22 12	36288	23.49	99.58	0	6.98	6.98	892.47
1980 01 23 12	36288	4.46	350.77	0	2.69	2.69	643.25
1980 01 24 12	36288	0	345.15	0	-1.39	-1.39	390.71
1980 01 25 12	36288	0	317.73	0	5.28	5.28	629.93
1980 01 26 12	36633.6	1.18	109.79	0	5.42	5.42	718.92
1980 01 27 12	36633.6	0.52	144.09	0	5.04	5.04	786.78
1980 01 28 12	36633.6	0.49	345.85	0	3.59	3.59	663.29
1980 01 29 12	36709.65	6.19	202.46	0	0.91	0.91	538.31
1980 01 30 12	36979.2	2.44	85.56	0	-1.12	-1.12	466.95
1980 01 31 12	36979.2	12.99	367.06	0	-1.87	-1.87	462.16
1980 02 01 12	36979.2	0.15	383.13	0	-8.41	-8.41	191.75
1980 02 02 12	37324.8	0	374.14	0	-7.68	-7.68	178.52
1980 02 03 12	37324.8	0	137.8	0	-5.11	-5.11	207.74
1980 02 04 12	37324.8	0.11	369.73	0	-3.54	-3.54	255.13
1980 02 05 12	37486.35	0.21	236.95	0	-4.01	-4.01	234.26
1980 02 06 12	37670.4	9.72	194.5	0	-2.22	-2.22	432.41
1980 02 07 12	37670.4	0	374.47	0	-2.67	-2.67	379.7
1980 02 08 12	37746.44	0.13	255.89	0	-1.94	-1.94	354.71
1980 02 09 12	38016	18.11	131.08	0	-0.81	-0.81	502.97
1980 02 10 12	38016	7.76	394.03	0	-0.77	-0.77	486
1980 02 11 12	38034.91	0	397.75	0	-1.56	-1.56	395.39
1980 02 12 12	38361.6	0	401.22	0	-1.64	-1.64	329.83
1980 02 13 12	38361.6	0	405.94	0	-1.72	-1.72	321.8
1980 02 14 12	38437.65	0	408.24	0	2.41	2.41	370.94
1980 02 15 12	38707.2	0.45	191.08	0	4.44	4.44	475.69
1980 02 16 12	38707.2	13.27	247.93	0	5.57	5.57	799.41
1980 02 17 12	38868.75	0	420.75	0	-3.63	-3.63	294.23
1980 02 18 12	39052.8	0	424.2	0	-2.44	-2.44	279.97
1980 02 19 12	39052.8	0.09	207.59	0	0.67	0.67	324.81
1980 02 20 12	39398.4	2.21	168.47	0	4.06	4.06	612.57
1980 02 21 12	39398.4	0.56	323.38	0	10.17	10.17	1077.57
1980 02 22 12	39398.4	4.48	335.73	0	14.36	14.36	1327.2
1980 02 23 12	39744	0.39	397.32	0	14.22	14.22	1199.54
1980 02 24 12	39744	0.52	427.88	0	11.05	11.05	824.73
1980 02 25 12	39744	0.47	432.15	0	6.77	6.77	604.61
1980 02 26 12	40089.6	0.19	446.78	0	-3.95	-3.95	271.8
1980 02 27 12	40089.6	0	443.07	0	-1.27	-1.27	309.22
1980 02 28 12	40251.15	0	310.98	0	4.94	4.94	589.72
1980 02 29 12	40435.2	5.14	213.45	0	1.97	1.97	529.71
1980 03 01 12	40435.2	10.27	117.34	0	-1	-1	469.68
1980 03 02 12	40780.8	3.15	152.54	0	-8.34	-8.34	280.89
1980 03 03 12	40780.8	0	478.36	0	-8.92	-8.92	194.61
1980 03 04 12	40780.8	0	304.98	0	-1.03	-1.03	328.96
1980 03 05 12	41126.4	28.1	283.24	0	3.79	3.79	646.67
1980 03 06 12	41126.4	0.34	467.01	0	4.03	4.03	552.77
1980 03 07 12	41472	16.37	286.3	0	7.21	7.21	761.35
1980 03 08 12	41472	50.07	330.34	0	11.45	11.45	1031.48
1980 03 09 12	41472	0.13	483.03	0	10.16	10.16	808.03
1980 03 10 12	41817.6	0.21	458.61	0	8.44	8.44	631.48
